name,stint 1,stint 2,stint 3,stint 4 ,stint 5,stint 6,raceId
Sebastian Vettel,Soft,Soft,Hard,,,,841
Lewis Hamilton,Soft,Soft,Hard,,,,841
Mark Webber,Soft,Hard,Soft,Soft,,,841
Jenson Button,Soft,Soft,Hard,,,,841
Fernando Alonso,Soft,Soft,Soft,Hard,,,841
Vitaly Petrov,Soft,Soft,Hard,,,,841
Nico Rosberg,Soft,Hard,,,,,841
Felipe Massa,Soft,Soft,Hard,Soft,,,841
Kamui Kobayashi,Soft,Soft,Hard,,,,841
Sebastien Buemi,Soft,Soft,Hard,,,,841
Michael Schumacher,Soft,Soft,Hard,,,,841
Jaime Alguersuari,Soft,Soft,Hard,Hard,,,841
Sergio Perez,Hard,Soft,,,,,841
Paul di Resta,Soft,Hard,Soft,,,,841
Pastor Maldonado,Soft,,,,,,841
Adrian Sutil,Soft,Hard,Hard,,,,841
Rubens Barrichello,Soft,Soft,Soft,Hard,,,841
Nick Heidfeld,Soft,Soft,Hard,,,,841
Heikki Kovalainen,Soft,Soft,,,,,841
Jarno Trulli,Hard,Soft,Soft,,,,841
Timo Glock,Soft,Soft,Hard,,,,841
Jerome d’Ambrosio,Soft,Hard,Hard,,,,841
Sebastian Vettel,Soft,Soft,Soft,Hard,,,842
Lewis Hamilton,Soft,Soft,Hard,Hard,Hard,,842
Mark Webber,Soft,Soft,Soft,Hard,Hard,,842
Jenson Button,Soft,Soft,Soft,Hard,,,842
Fernando Alonso,Soft,Soft,Soft,Hard,Hard,,842
Nick Heidfeld,Soft,Soft,Soft,Hard,,,842
Felipe Massa,Soft,Soft,Soft,Hard,,,842
Vitaly Petrov,Soft,Soft,Hard,Hard,,,842
Nico Rosberg,Soft,Soft,Soft,Hard,,,842
Kamui Kobayashi,Soft,Soft,Hard,,,,842
Michael Schumacher,Soft,Soft,Soft,Hard,,,842
Sebastien Buemi,Soft,Soft,Hard,,,,842
Jaime Alguersuari,Soft,Soft,Hard,,,,842
Paul di Resta,Soft,Soft,Soft,Hard,,,842
Rubens Barrichello,Soft,Soft,Hard,,,,842
Sergio Perez,Soft,Soft,,,,,842
Adrian Sutil,Soft,Soft,Hard,Soft,,,842
Pastor Maldonado,Soft,,,,,,842
Heikki Kovalainen,Soft,Soft,Hard,,,,842
Jarno Trulli,Soft,Soft,,,,,842
Timo Glock,Soft,Soft,Hard,,,,842
Jerome d’Ambrosio,Soft,Soft,Hard,,,,842
Vitantonio Liuzzi,Soft,Soft,Hard,Soft,,,842
Narain Karthikeyan,Soft,,,,,,842
Sebastian Vettel,Soft,Soft,Hard,,,,843
Jenson Button,Soft,Soft,Soft,Hard,,,843
Lewis Hamilton,Soft,Soft,Soft,Hard,,,843
Nico Rosberg,Soft,Soft,Soft,Hard,,,843
Fernando Alonso,Soft,Soft,Hard,,,,843
Felipe Massa,Soft,Soft,Hard,,,,843
Jaime Alguersuari,Soft,Soft,,,,,843
Paul di Resta,Soft,Soft,Hard,,,,843
Sebastien Buemi,Soft,Hard,Hard,Hard,,,843
Vitaly Petrov,Soft,Soft,Hard,,,,843
Adrian Sutil,Soft,Soft,Hard,Soft,,,843
Sergio Perez,Soft,Soft,Hard,,,,843
Kamui Kobayashi,Soft,Soft,Hard,,,,843
Michael Schumacher,Soft,Soft,Soft,Hard,,,843
Rubens Barrichello,Soft,Soft,Hard,,,,843
Nick Heidfeld,Soft,Soft,Hard,,,,843
Pastor Maldonado,Soft,Soft,Hard,Hard,,,843
Mark Webber,Hard,Soft,Soft,Soft,,,843
Heikki Kovalainen,Soft,Soft,Hard,,,,843
Jarno Trulli,Soft,Soft,Hard,,,,843
Jerome d’Ambrosio,Soft,Soft,Hard,,,,843
